Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Factor Value[Absorbed Radiation Dose]	Unit	Term Source REF	Term Accession Number	Factor Value[Time of Sample Collection After Treatment]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Container]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[ionizing radiation energy]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
GSM7623659	GSM7623659	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623660	GSM7623660	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623661	GSM7623661	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623662	GSM7623662	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623663	GSM7623663	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623664	GSM7623664	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623665	GSM7623665	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623666	GSM7623666	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	3	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623667	GSM7623667	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623668	GSM7623668	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623669	GSM7623669	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623670	GSM7623670	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623671	GSM7623671	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623672	GSM7623672	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	10	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	7	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623673	GSM7623673	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623674	GSM7623674	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623675	GSM7623675	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	cesium-137 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000051	100	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol	0.662	Megaelectronvolt	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152057	1.4	centigray per second	OSD	https://osdr.nasa.gov/	71	second	UO	http://purl.obolibrary.org/obo/UO_0000010	gamma irradiator	RBO	http://purl.obolibrary.org/obo/RBO_00005039	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623676	GSM7623676	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623677	GSM7623677	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
GSM7623678	GSM7623678	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	rosette	PO	http://purl.obolibrary.org/obo/PO_0025615	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Growth protocol	8:16 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4	week	UO	http://purl.obolibrary.org/obo/UO_0000034	autoclaved soil	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	36-cell trays	OSD	https://osdr.nasa.gov/	irradiation protocol		Not Applicable				Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101
