"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G03130",6431.284982,-0.300470242,0.102243911,-2.938759283,0.003295289,0.015106933,"yes","down",0.686985764610407,0.609504047408062,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G04420",1799.184424,-0.126623686,0.033838513,-3.74199908,0.000182562,0.001394084,"yes","down",0.667807105039438,0.57848544243936,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G05575",41.3375446,1.774994476,0.332185789,5.343378727,9.12e-08,2.27e-06,"yes","up",0.896649052572263,0.677454564816525,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G06460",1007.311585,0.143259179,0.057027845,2.51209177,0.012001787,0.042434466,"yes","up",0.741556434254708,0.635141807913749,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G08930",2123.049285,0.781727618,0.230517074,3.391191836,0.000695894,0.004232466,"yes","up",0.76846364323563,0.592848502882499,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G15820",29083.69999,-0.283324198,0.092629361,-3.058686749,0.002223095,0.010942788,"yes","down",0.626351340101177,0.578687905877556,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G16420",14.35742039,0.551013216,0.136188672,4.045954852,5.21e-05,0.000495347,"yes","up",0.755642269409426,0.554527712743491,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G16720",2203.226282,-0.144519926,0.052979857,-2.727827808,0.006375288,0.025480614,"yes","down",0.638146992240141,0.541098196061459,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G20020",10904.87847,-0.121475684,0.039918377,-3.043101758,0.002341531,0.011401966,"yes","down",0.663417690450131,0.607356186893335,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G20350",33.2813228,3.418648669,0.335111449,10.20152751,1.95e-24,1.7e-21,"yes","up",0.746967792480819,0.552114323972932,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G20510",411.6999194,0.912605214,0.134701135,6.77503731,1.24e-11,8.91e-10,"yes","up",0.733001111361248,0.495310474499426,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G20810",522.7189007,-0.098524962,0.037624444,-2.618642298,0.008828046,0.033169196,"yes","down",0.607318526599459,0.517772776959084,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G27770",1220.165622,1.046748802,0.171070963,6.118798793,9.43e-10,4.12e-08,"yes","up",0.640727246537523,0.390928929527133,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G28370",41.9787087,1.908796632,0.300585237,6.350267408,2.15e-10,1.14e-08,"yes","up",0.815507123299856,0.601777184780756,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G32060",18890.21886,-0.157581035,0.054129743,-2.911172808,0.003600748,0.016189288,"yes","down",0.63920724012747,0.597570371971407,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G33720",64.71361012,0.445652754,0.169275376,2.632708692,0.008470697,0.032135187,"yes","up",0.908385905842433,0.690356413770267,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G33760",13.64869497,1.964206948,0.535072984,3.670914074,0.000241685,0.00175732,"yes","up",0.95500345639396,0.775617844060371,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G35210",20.57170942,2.337211913,0.28576704,8.17873158,2.87e-16,5.68e-14,"yes","up",0.870948653356578,0.528407326368227,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G35350",277.6360054,0.546805045,0.207086085,2.640472169,0.008279059,0.031589877,"yes","up",0.829196530903911,0.700407392899308,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G42970",32609.45433,-0.160951817,0.042522112,-3.78513221,0.000153627,0.001212974,"yes","down",0.677434670176084,0.601656301375203,"tissue_specific","Leaf_Shoot","cotyledon"
